drawing,-0.286177281,,,
drawing,0.104139515,,,
drawing,0.009507345,,,
drawing,-0.250708084,,,
drawing,-0.079742511,,,
drawing,-0.110168408,,,
drawing,0.159177298,,,
drawing,0.020843268,,,
drawing,-0.232609284,,,
drawing,-0.195795327,,,
drawing,-0.055807836,,,
drawing,0.095214349,,,
drawing,0.103047065,,,
drawing,-0.020275952,,,
drawing,-0.20077037,,,
drawing,-0.026236931,,,
drawing,-0.154515708,,-0.061995263,-0.286177281
drawing,-0.103157098,,-0.067775173,0.193002626
drawing,0.022956502,,,
drawing,-0.18845722,,-0.010819467,-0.468547949
drawing,-0.16736174,,0.006152662,0.30186961
drawing,0.193002626,,,
text,-0.195124139,,,
text,-0.468547949,,,
text,0.136590862,,,
text,-0.343580996,,,
text,0.100890451,,,
text,0.016628246,,,
text,0.289001344,,,
text,-0.083034117,,,
text,0.069961236,,,
text,-0.017684807,,,
text,-0.318205087,,,
text,0.30186961,,,
text,-0.011895776,,,
text,-0.016461666,,,
text,0,,,
text,0.137355249,,,
text,0.073034662,,,
text,0.117480334,,,
text,0.006152662,,,
